[2021-03-06T13:24:03.178738+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-06T13:24:03.329420+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` [] []
[2021-03-06T13:27:42.223041+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-06T13:27:42.354654+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` [] []
[2021-03-06T13:29:45.960239+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` WHERE `id_buku` IN (176215) [] []
[2021-03-06T13:29:46.046651+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` [] []
[2021-03-06T13:31:38.550182+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` WHERE `id_buku` IN (166148) [] []
[2021-03-06T13:31:38.624162+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` [] []
[2021-03-06T13:33:17.871125+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-06T13:33:18.015936+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` [] []
[2021-03-06T13:36:52.611492+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-06T13:36:52.700124+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` [] []
[2021-03-06T13:40:41.782904+00:00] log.DEBUG: SELECT `id_buku` AS `lf`, `nama_buku` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `buku` [] []
[2021-03-06T13:40:41.891458+00:00] log.DEBUG: SELECT `id_anggota` AS `lf`, `nama_anggota` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `anggota` [] []
[2021-03-06T13:40:48.367219+00:00] log.DEBUG: SELECT `id_peminjaman` AS `lf`, `berita_peminjaman` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `peminjaman` [] []
[2021-03-06T13:42:58.187648+00:00] log.DEBUG: SELECT `id_peminjaman` AS `lf`, `berita_peminjaman` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `peminjaman` [] []
[2021-03-06T13:43:39.995897+00:00] log.DEBUG: SELECT `id_peminjaman` AS `lf`, `berita_peminjaman` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `peminjaman` [] []
[2021-03-06T13:44:15.914407+00:00] log.DEBUG: SELECT `id_peminjaman` AS `lf`, `berita_peminjaman` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `peminjaman` [] []
[2021-03-06T13:47:40.064490+00:00] log.DEBUG: SELECT `id_peminjaman` AS `lf`, `berita_peminjaman` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `peminjaman` [] []
